"Event","Phylum","Subphylum","Class","Subclass","Superorder","Order","Suborder","Infraorder","Superfamily","Family","Subfamily","Genus","Species","Det_level","base_name","known_class","longlab"
"MOAB00320160419","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","Chironomoidea","Chironomidae","Chironominae","Micropsectra","Micropsectra nigripila","Species","Micropsectra nigripila","Diptera","Arthropoda_Insecta_Diptera"
"MOAB00420160712","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Caelifera","Acrididea","Acridoidea","Acrididae","Gomphocerinae","Ageneotettix","Ageneotettix deorum","Species","Ageneotettix deorum","Orthoptera","Arthropoda_Insecta_Orthoptera"
"MOAB00420161004","Arthropoda","Hexapoda","Insecta","Pterygota","Paraneoptera","Hemiptera","Heteroptera","Cimicimorpha","Cimicoidea","Anthocoridae","Anthocorinae","Orius","Orius tristicolor","Species","Orius tristicolor","Hemiptera","Arthropoda_Insecta_Hemiptera"
"NIWO00220160628","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Araneoidea","Linyphiidae","Erigoninae","Scotinotylus","Scotinotylus alpinus","Species","Scotinotylus alpinus","Araneae","Arthropoda_Arachnida_Araneae"
"NIWO00220160906","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","NULL","Culicidae","Culicinae","Psorophora","Psorophora signipennis","Species","Psorophora signipennis","Diptera","Arthropoda_Insecta_Diptera"
"NIWO00320160726","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Hymenoptera","Symphyta","NULL","Tenthredinoidea","Tenthredinidae","NULL","Empria","indet.","Genus","Empria","Hymenoptera","Arthropoda_Insecta_Hymenoptera"
"NIWO00320160726","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","Chironomoidea","Chironomidae","Orthocladiinae","Limnophyes","Limnophyes schnelli","Species","Limnophyes schnelli","Diptera","Arthropoda_Insecta_Diptera"
"NIWO00320160726","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Bibionomorpha","Sciaroidea","Sciaridae","indet.","Corynoptera","indet.","Genus","Corynoptera","Diptera","Arthropoda_Insecta_Diptera"
"NIWO00320160726","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Brachycera","Muscomorpha","Asiloidea","Therevidae","indet.","indet.","indet.","Family","Therevidae","Diptera","Arthropoda_Insecta_Diptera"
"NIWO00320160906","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Bibionomorpha","Sciaroidea","Sciaridae","indet.","Corynoptera","indet.","Genus","Corynoptera","Diptera","Arthropoda_Insecta_Diptera"
"NOGP00520160524","Arthropoda","Hexapoda","Insecta","Pterygota","Polyneoptera","Orthoptera","Caelifera","Acrididea","Acridoidea","Acrididae","Gomphocerinae","Chloealtis","Chloealtis conspersa","Species","Chloealtis conspersa","Orthoptera","Arthropoda_Insecta_Orthoptera"
"NOGP00520160524","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Brachycera","Muscomorpha","Empidoidea","Hybotidae","indet.","indet.","indet.","Family","Hybotidae","Diptera","Arthropoda_Insecta_Diptera"
"NOGP00520160719","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Hymenoptera","Apocrita","Parasitoida","Platygastroidea","Scelionidae","Scelioninae","Baeus","indet.","Genus","Baeus","Hymenoptera","Arthropoda_Insecta_Hymenoptera"
"NOGP00520160913","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Lepidoptera","Glossata","Neolepidoptera","Noctuoidea","Noctuidae","Noctuinae","Apamea","Apamea devastator","Species","Apamea devastator","Lepidoptera","Arthropoda_Insecta_Lepidoptera"
"NOGP00520160913","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Bibionomorpha","Sciaroidea","Cecidomyiidae","indet.","indet.","indet.","Family","Cecidomyiidae","Diptera","Arthropoda_Insecta_Diptera"
"NOGP00520160913","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Polyphaga","Cucujiformia","Coccinelloidea","Coccinellidae","indet.","indet.","indet.","Family","Coccinellidae","Coleoptera","Arthropoda_Insecta_Coleoptera"
"NOGP00520160913","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Polyphaga","Cucujiformia","Curculionoidea","Curculionidae","Entiminae","Otiorhynchus","Otiorhynchus ovatus","Species","Otiorhynchus ovatus","Coleoptera","Arthropoda_Insecta_Coleoptera"
"NOGP00520160913","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","Chironomoidea","Ceratopogonidae","Forcipomyiinae","indet.","indet.","Subfamily","Forcipomyiinae","Diptera","Arthropoda_Insecta_Diptera"
"NOGP00520160913","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","Chironomoidea","Chironomidae","Chironominae","Chironomus","indet.","Genus","Chironomus","Diptera","Arthropoda_Insecta_Diptera"
"NOGP00520160913","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","Chironomoidea","Chironomidae","Chironominae","Cladopelma","Cladopelma viridulum","Species","Cladopelma viridulum","Diptera","Arthropoda_Insecta_Diptera"
"NOGP00520160913","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Psychodomorpha","NULL","Scatopsidae","indet.","indet.","indet.","Family","Scatopsidae","Diptera","Arthropoda_Insecta_Diptera"
"NOGP00520160913","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","NULL","Culicidae","Culicinae","Culiceta","Culiseta inornata","Species","Culiseta inornata","Diptera","Arthropoda_Insecta_Diptera"
"NOGP00520160913","Arthropoda","Hexapoda","Insecta","Pterygota","Paraneoptera","Hemiptera","Auchenorrhyncha","Cicadomorpha","Cercopoidea","Aphrophoridae","Aphrophorinae","Philaenarcys","indet.","Genus","Philaenarcys","Hemiptera","Arthropoda_Insecta_Hemiptera"
"NOGP00920160913","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Lepidoptera","Glossata","Neolepidoptera","Noctuoidea","Noctuidae","Noctuinae","Proxenus","Proxenus miranda","Species","Proxenus miranda","Lepidoptera","Arthropoda_Insecta_Lepidoptera"
"OAES00520160406","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","Chironomoidea","Chironomidae","Tanypodinae","indet.","indet.","Subfamily","Tanypodinae","Diptera","Arthropoda_Insecta_Diptera"
"OAES00720160907","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Lepidoptera","Glossata","Neolepidoptera","Geometroidea","Geometridae","Geometrinae","Chlorochlamys","Chlorochlamys triangularis","Species","Chlorochlamys triangularis","Lepidoptera","Arthropoda_Insecta_Lepidoptera"
"ONAQ00220160426","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Alopecosa","Alopecosa kochi","Species","Alopecosa kochi","Araneae","Arthropoda_Arachnida_Araneae"
"ONAQ00220160913","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","NULL","Agelenidae","NULL","Calilena","Calilena stylophora","Species","Calilena stylophora","Araneae","Arthropoda_Arachnida_Araneae"
"ONAQ02320160426","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Bibionomorpha","Bibionoidea","Bibionidae","Bibioninae","Bibio","indet.","Genus","Bibio","Diptera","Arthropoda_Insecta_Diptera"
"ONAQ02320160426","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Brachycera","Muscomorpha","Platypezoidea","Phoridae","Metopininae","indet.","indet.","Subfamily","Metopininae","Diptera","Arthropoda_Insecta_Diptera"
"ONAQ02320160705","Arthropoda","Hexapoda","Insecta","Pterygota","Paraneoptera","Psocodea","Psocomorpha","Homilopsocidea","Lachesilloidea","Lachesillidae","Lachesillinae","Lachesilla","Lachesilla pedicularia","Species","Lachesilla pedicularia",NA,"NA_NA_NA"
"ONAQ02320160913","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Polyphaga","Cucujiformia","Tenebrionoidea","Tenebrionidae","Tenebrioninae","Eleodes","Eleodes extricatus","Species","Eleodes extricatus","Coleoptera","Arthropoda_Insecta_Coleoptera"
"ONAQ02320160913","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Brachycera","Muscomorpha","Asiloidea","Bombyliidae","Anthracinae","Villa","Villa alternata","Species","Villa alternata","Diptera","Arthropoda_Insecta_Diptera"
"ORNL00120160705","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Nematocera","Culicomorpha","Chironomoidea","Chironomidae","Chironominae","Tribelos","indet.","Genus","Tribelos","Diptera","Arthropoda_Insecta_Diptera"
"ORNL02120160329","Arthropoda","Chelicerata","Arachnida","Acari","Acariformes","Trombidiformes","Prostigmata","NULL","Eupodoidea","Eupodidae","indet.","indet.","indet.","Family","Eupodidae","Acari","Arthropoda_Arachnida_Acari"
"ORNL02120160705","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","NULL","Anyphaenidae","NULL","Anyphaena","Anyphaena pectorosa","Species","Anyphaena pectorosa","Araneae","Arthropoda_Arachnida_Araneae"
"ORNL02120160705","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Rabidosa","Rabidosa punctulata","Species","Rabidosa punctulata","Araneae","Arthropoda_Arachnida_Araneae"
"ORNL02120161011","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Rabidosa","Rabidosa punctulata","Species","Rabidosa punctulata","Araneae","Arthropoda_Arachnida_Araneae"
"ORNL02920160329","Arthropoda","Hexapoda","Collembola","NULL","NULL","Collembola","Entomobryomorpha","NULL","Isotomoidea","Isotomidae","indet.","indet.","indet.","Family","Isotomidae","Collembola","Arthropoda_Collembola_Collembola"
"OSBS02220160407","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Brachycera","Muscomorpha","Syrphoidea","Syrphidae","Syrphinae","Ocyptamus","Ocyptamus fuscipennis","Species","Ocyptamus fuscipennis","Diptera","Arthropoda_Insecta_Diptera"
"OSBS02220160407","Arthropoda","Hexapoda","Insecta","Pterygota","Paraneoptera","Hemiptera","Heteroptera","Pentatomomorpha","Lygaeoidea","Rhyparochromidae","Rhyparochrominae","Pseudopachybrachius","Pseudopachybrachius basalis","Species","Pseudopachybrachius basalis","Hemiptera","Arthropoda_Insecta_Hemiptera"
"SCBI00420160719","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Lycosoidea","Lycosidae","NULL","Gladicosa","Gladicosa gulosa","Species","Gladicosa gulosa","Araneae","Arthropoda_Arachnida_Araneae"
"SCBI00420160719","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Brachycera","Tabanomorpha","Tabanoidea","Tabanidae","indet.","indet.","indet.","Family","Tabanidae","Diptera","Arthropoda_Insecta_Diptera"
"SCBI00420160927","Arthropoda","Hexapoda","Collembola","NULL","NULL","Collembola","Entomobryomorpha","NULL","Entomobryoidea","Entomobryidae","Entomobryinae","Entomobrya","Entomobrya ligata","Species","Entomobrya ligata","Collembola","Arthropoda_Collembola_Collembola"
"SCBI00620160426","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Diptera","Brachycera","Muscomorpha","Ephydroidea","Ephydridae","Parydrinae","Nostima","Nostima picta","Species","Nostima picta","Diptera","Arthropoda_Insecta_Diptera"
"SCBI00620160426","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Polyphaga","Staphyliniformia","Staphylinoidea","Staphylinidae","Staphylininae","Platydracus","Platydracus cinnamopterus","Species","Platydracus cinnamopterus","Coleoptera","Arthropoda_Insecta_Coleoptera"
"SCBI00620160426","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","NULL","Salticidae","Dendryphantinae","Eris","Eris militaris","Species","Eris militaris","Araneae","Arthropoda_Arachnida_Araneae"
"SCBI00620160426","Arthropoda","Hexapoda","Insecta","Pterygota","Paraneoptera","Hemiptera","Heteroptera","Pentatomomorpha","Lygaeoidea","Rhyparochromidae","Rhyparochrominae","Pseudopachybrachius","Pseudopachybrachius basalis","Species","Pseudopachybrachius basalis","Hemiptera","Arthropoda_Insecta_Hemiptera"
"SCBI00620160426","Arthropoda","Hexapoda","Insecta","Pterygota","Paraneoptera","Hemiptera","Sternorrhyncha","Aphidomorpha","Aphidoidea","Aphididae","Aphidinae","Aphis","Aphis spiraecola","Species","Aphis spiraecola","Hemiptera","Arthropoda_Insecta_Hemiptera"
"SCBI00620160719","Arthropoda","Crustacea","Crustacea","Eumalacostraca","Eucarida","Decapoda","Pleocyemata","Brachyura","Portunoidea","Portunidae","NULL","Callinectes","Callinectes sapidus","Species","Callinectes sapidus",NA,"NA_NA_NA"
"SCBI00620160719","Arthropoda","Hexapoda","Insecta","Pterygota","Holometabola","Lepidoptera","Glossata","Neolepidoptera","Noctuoidea","Noctuidae","Hadeninae","Leucania","Leucania ursula","Species","Leucania ursula","Lepidoptera","Arthropoda_Insecta_Lepidoptera"
"SCBI00620160719","Arthropoda","Hexapoda","Insecta","Pterygota","NULL","Coleoptera","Polyphaga","Cucujiformia","Cucujoidea","Phalacridae","NULL","Olibrus","Olibrus semistriatus","Species","Olibrus semistriatus","Coleoptera","Arthropoda_Insecta_Coleoptera"
"SCBI00620160719","Arthropoda","Chelicerata","Arachnida","NULL","NULL","Araneae","Araneomorphae","NULL","Araneoidea","Theridiidae","NULL","Dipoena","Dipoena nigra","Species","Dipoena nigra","Araneae","Arthropoda_Arachnida_Araneae"
