"Species","Genus","Subfamily","Family","Superfamily","Infraorder","Suborder","Order","Superorder","Subclass","Class","Subphylum","Phylum"
"Novomessor","Novomessor","Myrmicinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Odonata","Odonata","Odonata","Odonata","Odonata","Odonata","Odonata","Odonata","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
"Odontomachus","Odontomachus","Ponerinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Opilioacarida","Opilioacarida","Opilioacarida","Opilioacarida","Opilioacarida","Opilioacarida","Opilioacarida","Opilioacarida","Parasitiformes","Acari","Arachnida","Chelicerata","Arthropoda"
"Opiliones","Opiliones","Opiliones","Opiliones","Opiliones","Opiliones","Opiliones","Opiliones","Arachnida","Arachnida","Arachnida","Chelicerata","Arthropoda"
"Orthoptera","Orthoptera","Orthoptera","Orthoptera","Orthoptera","Orthoptera","Orthoptera","Orthoptera","Polyneoptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Orthostethus infuscatus","Orthostethus","Elaterinae","Elateridae","Elateroidea","Elateriformia","Polyphaga","Coleoptera","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
"Panorpa","Panorpa","Panorpidae","Panorpidae","Mecoptera","Mecoptera","Mecoptera","Mecoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Panorpidae","Panorpidae","Panorpidae","Panorpidae","Mecoptera","Mecoptera","Mecoptera","Mecoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Parcoblatta","Parcoblatta","Blattellinae","Blattellidae","Blaberoidea","Blattodea","Blattodea","Blattodea","Polyneuroptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Pasimachus","Pasimachus","Scaratinae","Carabidae","Caraboidea","Adephaga","Adephaga","Coleoptera","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
"Pauropoda","Pauropoda","Pauropoda","Pauropoda","Pauropoda","Pauropoda","Pauropoda","Pauropoda","Pauropoda","Pauropoda","Pauropoda","Myriapoda","Arthropoda"
"Pentatomidae","Pentatomidae","Pentatomidae","Pentatomidae","Pentatomoidea","Pentatomomorpha","Heteroptera","Hemiptera","Paraneoptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Pheidole","Pheidole","Myrmicinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Phoridae","Phoridae","Phoridae","Phoridae","Platypezoidea","Muscomorpha","Brachycera","Diptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Platydracus","Platydracus","Staphylininae","Staphylinidae","Staphylinoidea","Staphyliniformia","Polyphaga","Coleoptera","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
"Pogonomyrmex","Pogonomyrmex","Myrmicinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Polydesmida","Polydesmida","Polydesmida","Polydesmida","Polydesmida","Polydesmida","Polydesmida","Polydesmida","Helminthomorpha","Helminthomorpha","Myriapoda","Myriapoda","Arthropoda"
"Polydesmidae","Polydesmidae","Polydesmidae","Polydesmidae","Polydesmidea","Polydesmidea","Polydesmidea","Polydesmida","Helminthomorpha","Helminthomorpha","Myriapoda","Myriapoda","Arthropoda"
"Polyergus","Polyergus","Formicinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Ponera","Ponera","Ponerinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Ponerinae","Ponerinae","Ponerinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Prenolepis","Prenolepis","Formicinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Prenolepis imparis","Prenolepis","Formicinae","Formicidae","Vespoidea","Aculeata","Apocrita","Hymenoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Prionus","Prionus","Prioninae","Cerambycidae","Chrysomeloidea","Cucujiformia","Polyphaga","Coleoptera","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
"Prodoxidae","Prodoxidae","Prodoxidae","Prodoxidae","Incurvarioidea","Neolepidoptera","Glossata","Lepidoptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Protura","Protura","Protura","Protura","Protura","Protura","Protura","Protura","Protura","Protura","Protura","Hexapoda","Arthropoda"
"Pseudoscorpiones","Pseudoscorpiones","Pseudoscorpiones","Pseudoscorpiones","Pseudoscorpiones","Pseudoscorpiones","Pseudoscorpiones","Pseudoscorpiones","Arachnida","Arachnida","Arachnida","Chelicerata","Arthropoda"
"Reduviidae","Reduviidae","Reduviidae","Reduviidae","Reduvoidea","Cimicimorpha","Heteroptera","Hemiptera","Paraneoptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Reticulitermes","Reticulitermes","Heterotermitinae","Rhinotermitidae","Blattoidea","Blattodea","Blattodea","Blattodea","Polyneuroptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Rhaphidophoridae","Rhaphidophoridae","Rhaphidophoridae","Rhaphidophoridae","Stenopelmatoidea","Tettigoniidea","Ensifera","Orthoptera","Polyneoptera","Pterygota","Insecta","Hexapoda","Arthropoda"
"Scarabaeidae","Scarabaeidae","Scarabaeidae","Scarabaeidae","Scarabaeoidea","Scarabeiformia","Polyphaga","Coleoptera","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
"Sciophila","Sciophila","Sciophilinae","Mycetophilidae","Sciaroidea","Bibionomorpha","Nematocera","Diptera","Holometabola","Pterygota","Insecta","Hexapoda","Arthropoda"
"Scolopendromorpha","Scolopendromorpha","Scolopendromorpha","Scolopendromorpha","Scolopendromorpha","Scolopendromorpha","Scolopendromorpha","Scolopendromorpha","Pleurostigmophora","Pleurostigmophora","Myriapoda","Myriapoda","Arthropoda"
"Scolytinae","Scolytinae","Scolytinae","Curculionidae","Curculionoidea","Cucujiformia","Polyphaga","Coleoptera","Pterygota","Pterygota","Insecta","Hexapoda","Arthropoda"
